transaction_id,amount,time_of_day,location_risk,is_foreign,num_prev_transactions,account_age_days,is_fraud
6253,41.17,21,0.39,0,21,2504,0
4685,149.39,6,0.37,0,32,2837,0
1732,97.79,16,0.35,0,30,479,0
4743,3.62,17,0.02,0,19,2261,0
4522,86.07,22,0.24,0,7,2442,0
6341,28.43,21,0.07,0,44,2881,0
577,15.91,8,0.27,0,8,2369,0
5203,102.94,15,0.06,1,11,390,0
6364,63.45,16,0.23,0,45,1392,0
440,8.48,7,0.14,0,45,801,0
2751,49.13,17,0.22,0,4,2869,0
7488,325.5,13,0.12,0,6,1078,0
5273,35.36,12,0.22,0,11,307,0
5654,43.46,17,0.39,0,22,2657,0
4000,17.6,7,0.27,0,1,694,0
6034,26.62,15,0.29,0,7,1129,0
583,67.85,8,0.23,0,25,82,0
9931,814.3,1,0.88,1,0,44,1
7052,74.92,8,0.04,0,44,2184,0
8159,51.47,8,0.22,0,41,1684,0
9897,192.37,3,0.81,0,2,55,1
2250,12.21,9,0.11,0,47,1330,0
4641,291.41,9,0.38,1,47,1319,0
9486,97.75,19,0.37,0,21,1491,0
4948,135.34,8,0.18,0,48,1938,0
9921,438.12,4,0.67,1,0,50,1
1964,48.42,7,0.21,0,40,653,0
8244,53.06,15,0.22,0,45,229,0
6591,60.51,14,0.31,1,17,2276,0
8848,107.06,12,0.15,0,20,174,0
322,125.38,12,0.37,0,4,90,0
2679,11.82,6,0.19,0,45,2516,0
4626,114.74,22,0.16,0,11,2060,0
4950,186.46,10,0.09,0,38,1803,0
8329,199.68,17,0.29,0,24,1165,0
3338,142.18,10,0.19,0,6,2579,0
5590,102.47,8,0.36,0,14,2854,0
252,48.63,9,0.35,0,49,273,0
3974,123.59,13,0.2,0,12,551,0
6631,53.11,19,0.22,0,10,2203,0
5548,5.06,11,0.24,0,20,948,0
36,165.23,14,0.39,0,28,2450,0
8363,26.58,8,0.11,0,25,1386,0
1514,1.84,20,0.15,0,5,548,0
9318,46.19,16,0.39,1,13,714,0
40,58.01,10,0.26,0,12,552,0
4820,22.22,17,0.24,0,25,2748,0
3466,122.13,15,0.35,0,47,1750,0
1761,60.58,12,0.36,0,47,2469,0
2305,268.46,17,0.36,0,44,2680,0
3724,20.55,11,0.36,0,46,342,0
8285,88.62,14,0.15,0,12,1449,0
4994,104.54,15,0.29,0,34,1364,0
8128,271.23,6,0.11,0,27,418,0
3033,139.01,19,0.15,0,2,1403,0
7939,44.53,7,0.14,0,22,527,0
3040,73.13,13,0.26,0,38,2940,0
9656,82.71,18,0.39,0,11,2083,0
2546,66.87,9,0.16,0,37,212,0
2593,80.41,20,0.3,0,43,2095,0
1189,35.81,15,0.23,0,47,2755,0
7967,32.14,22,0.25,0,29,246,0
6078,78.55,19,0.37,0,31,2874,0
108,140.87,12,0.24,0,5,2902,0
1316,103.16,7,0.03,0,36,2446,0
8188,275.08,20,0.19,0,23,2072,0
2754,42.34,20,0.09,1,33,954,0
9754,146.3,13,0.16,0,23,2143,0
6232,242.3,7,0.15,0,43,551,0
2877,68.82,11,0.08,0,23,1736,0
5324,671.96,10,0.09,0,16,2417,0
800,255.75,11,0.21,0,31,1918,0
3571,37.67,22,0.09,0,35,125,0
2895,16.44,13,0.38,0,4,2215,0
2928,419.03,7,0.25,0,14,1776,0
8179,4.12,6,0.21,0,29,1210,0
972,276.19,14,0.3,0,32,754,0
6688,43.34,13,0.31,0,7,2633,0
8576,7.24,21,0.19,0,8,757,0
2021,330.76,15,0.02,0,45,2299,0
9055,85.7,16,0.34,0,4,2437,0
953,19.28,6,0.3,0,35,2147,0
5360,68.98,21,0.14,0,27,1271,0
3858,80.0,7,0.05,0,43,2415,0
5862,72.98,15,0.23,0,49,2935,0
3146,45.96,6,0.28,0,20,1493,0
3306,43.16,15,0.11,0,22,2652,0
3007,236.54,17,0.38,0,36,2775,0
9002,74.52,15,0.25,1,17,2090,0
7771,70.1,16,0.31,0,43,1744,0
7439,32.8,8,0.13,0,32,994,0
7943,231.53,20,0.02,0,21,2357,0
9239,68.56,19,0.39,0,3,1048,0
1057,145.75,14,0.08,0,4,1017,0
3155,58.44,12,0.28,1,9,1448,0
3788,62.36,12,0.24,0,14,850,0
9190,168.31,14,0.25,0,47,1557,0
7826,194.3,15,0.33,1,21,886,0
7540,50.04,13,0.12,0,30,1189,0
7232,58.41,19,0.27,0,22,405,0
765,3.41,18,0.24,0,43,2979,0
5020,195.15,19,0.32,0,31,1495,0
4904,36.77,22,0.34,0,1,2065,0
8094,373.3,14,0.16,0,4,1649,0
6844,8.93,13,0.39,1,44,1312,0
2166,386.82,17,0.37,0,30,1363,0
1863,19.53,12,0.03,0,9,1065,0
7851,36.13,19,0.12,1,5,237,0
9124,225.44,14,0.05,0,44,766,0
2341,139.1,16,0.06,0,45,298,0
5528,8.5,8,0.37,0,21,2654,0
6744,197.94,14,0.29,0,7,966,0
4004,16.71,10,0.3,0,7,2944,0
1124,165.82,22,0.39,0,23,2096,0
8710,128.58,12,0.31,0,7,1505,0
4050,22.51,22,0.0,0,39,500,0
7641,59.79,20,0.26,0,24,1549,0
766,84.37,21,0.25,1,43,2954,0
2345,284.26,12,0.11,0,35,462,0
